"Market","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NASDAQ","CBIO","Catalyst Biosciences, Inc. ","0.81","$9.59M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbio",
"NASDAQ","CPRX","Catalyst Pharmaceuticals, Inc.","1.15","$95.3M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cprx",
"NASDAQ","CATY","Cathay General Bancorp","30.21","$2.38B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caty",
"NASDAQ","CATYW","Cathay General Bancorp","10.5136","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/catyw",
"NASDAQ","CVCO","Cavco Industries, Inc.","92","$825.41M","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/cvco",
"NASDAQ","CAVM","Cavium, Inc.","57.19","$3.31B","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/cavm",
"NASDAQ","CBFV","CB Financial Services, Inc.","23.463","$95.75M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbfv",
"NASDAQ","CBOE","CBOE Holdings, Inc.","63.92","$5.2B","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cboe",
"NASDAQ","CDK","CDK Global, Inc.","54.35","$8.16B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cdk",
"NASDAQ","CDW","CDW Corporation","44.77","$7.31B","2013","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/cdw",
"NASDAQ","CECE","CECO Environmental Corp.","10.57","$360.63M","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cece",
"NASDAQ","CELG","Celgene Corporation","97.63","$75.67B","1987","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celg",
"NASDAQ","CELGZ","Celgene Corporation","1.0101","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celgz",
"NASDAQ","CLDX","Celldex Therapeutics, Inc.","3.26","$327.78M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/cldx",
"NASDAQ","APOP","Cellect Biotechnology Ltd.","4.16","$17M","2016","n/a","n/a","http://www.nasdaq.com/symbol/apop",
"NASDAQ","APOPW","Cellect Biotechnology Ltd.","0.77","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/apopw",
"NASDAQ","CLRB","Cellectar Biosciences, Inc.","1.89","$10.15M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrb",
"NASDAQ","CLRBW","Cellectar Biosciences, Inc.","0.21","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrbw",
"NASDAQ","CLRBZ","Cellectar Biosciences, Inc.","0.42","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrbz",
"NASDAQ","CLLS","Cellectis S.A.","18.06","$638.09M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/clls",
"NASDAQ","CBMG","Cellular Biomedicine Group, Inc.","13.05","$184.03M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbmg",
"NASDAQ","CLSN","Celsion Corporation","1.08","$27.88M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clsn",
"NASDAQ","CYAD","Celyad SA","17.9","$166.71M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cyad",
"NASDAQ","CEMP","Cempra, Inc.","23.62","$1.23B","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cemp",
"NASDAQ","CETX","Cemtrex Inc.","4.03","$37.93M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cetx",
"NASDAQ","CDEV","Centennial Resource Development, Inc.","14.3","$893.75M","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cdev",
"NASDAQ","CDEVW","Centennial Resource Development, Inc.","4.65","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cdevw",
"NASDAQ","CSFL","CenterState Banks, Inc.","18.76","$900.58M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/csfl",
"NASDAQ","CETV","Central European Media Enterprises Ltd.","2.3","$327.42M","1994","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cetv",
"NASDAQ","CFBK","Central Federal Corporation","1.43","$22.89M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cfbk",
"NASDAQ","CENT","Central Garden & Pet Company","24.17","$1.23B","1993","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/cent",
"NASDAQ","CENTA","Central Garden & Pet Company","23.23","$1.18B","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/centa",
"NASDAQ","CVCY","Central Valley Community Bancorp","14.17","$156.96M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cvcy",
"NASDAQ","CFCB","Centrue Financial Corporation","19.55","$127.34M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfcb",
"NASDAQ","CENX","Century Aluminum Company","7.45","$648.71M","1996","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/cenx",
"NASDAQ","CNBKA","Century Bancorp, Inc.","45.8","$255.01M","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/cnbka",
"NASDAQ","CNTY","Century Casinos, Inc.","6.63","$162M","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cnty",
"NASDAQ","CPHD","CEPHEID","52.93","$3.86B","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/cphd",
"NASDAQ","CRNT","Ceragon Networks Ltd.","2.66","$206.64M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/crnt",
"NASDAQ","CERC","Cerecor Inc.","4.1699","$36.07M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cerc",
"NASDAQ","CERCW","Cerecor Inc.","1.25","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cercw",
"NASDAQ","CERCZ","Cerecor Inc.","0.7899","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cercz",
"NASDAQ","CERN","Cerner Corporation","58.9","$19.89B","1986","Technology","EDP Services","http://www.nasdaq.com/symbol/cern",
"NASDAQ","CERU","Cerulean Pharma Inc.","0.8754","$23.97M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ceru",
"NASDAQ","CERS","Cerus Corporation","5.22","$536.14M","1997","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cers",
"NASDAQ","KOOL","Cesca Therapeutics Inc.","3.4","$33.29M","n/a","Capital Goods","Medical Specialities","http://www.nasdaq.com/symbol/kool",
"NASDAQ","CEVA","CEVA, Inc.","31.5","$660.25M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ceva",
"NASDAQ","CFCO","CF Corporation","9.81","$824.04M","2016","Finance","Business Services","http://www.nasdaq.com/symbol/cfco",
"NASDAQ","CFCOU","CF Corporation","10.25","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/cfcou",
"NASDAQ","CFCOW","CF Corporation","0.9","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/cfcow",
"NASDAQ","CSBR","Champions Oncology, Inc.","1.65","$18.1M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/csbr",
"NASDAQ","CYOU","Changyou.com Limited","27.52","$1.44B","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyou",
"NASDAQ","HOTR","Chanticleer Holdings, Inc.","0.4654","$10.22M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/hotr",
"NASDAQ","HOTRW","Chanticleer Holdings, Inc.","0.03","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/hotrw",
"NASDAQ","CTHR","Charles & Colvard Ltd","1.17","$25.13M","1997","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/cthr",
"NASDAQ","GTLS","Chart Industries, Inc.","31","$948.38M","2006","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gtls",
"NASDAQ","CHTR","Charter Communications, Inc.","257.06","$69.64B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/chtr",
"NASDAQ","CHFN","Charter Financial Corp.","13.05","$196.16M","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/chfn",
"NASDAQ","CHKP","Check Point Software Technologies Ltd.","78.52","$13.73B","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/chkp",
"NASDAQ","CHEK","Check-Cap Ltd.","2.19","$26.84M","2015","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/chek",
"NASDAQ","CHEKW","Check-Cap Ltd.","0.75","n/a","2015","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/chekw",
"NASDAQ","CEMI","Chembio Diagnostics, Inc.","6.95","$83.3M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cemi",
"NASDAQ","CHFC","Chemical Financial Corporation","43.61","$1.67B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chfc",
"NASDAQ","CCXI","ChemoCentryx, Inc.","6.22","$297.08M","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ccxi",
"NASDAQ","CHMG","Chemung Financial Corp","28.8","$135.38M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chmg",
"NASDAQ","CHKE","Cherokee Inc.","10.24","$89.22M","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/chke",
"NASDAQ","CHMA","Chiasma, Inc.","2.6","$63.33M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/chma",
