"MARKET","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AMEX","UUUU","Energy Fuels Inc","1.54","$102.3M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/uuuu",
"AMEX","ENRJ","EnerJex Resources, Inc.","0.39","$3.29M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj",
"AMEX","ENRJ^","EnerJex Resources, Inc.","1.01","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/enrj^",
"AMEX","ENSV","ENSERVCO Corporation","0.64","$24.4M","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv",
"AMEX","ESNC","EnSync, Inc.","0.98","$46.8M","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/esnc",
"AMEX","EGI","Entree Gold Inc","0.2802","$42.82M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/egi",
"AMEX","EVI","EnviroStarm, Inc.","7.53","$52.96M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/evi",
"AMEX","ERN","Erin Energy Corp.","2.25","$478.22M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ern",
"AMEX","ESP","Espey Mfg. & Electronics Corp.","25.5375","$60.39M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esp",
"AMEX","EMXX","Eurasian Minerals Inc.","1.04","$77.01M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/emxx",
"AMEX","EVBN","Evans Bancorp, Inc.","27.87","$119.48M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/evbn",
"AMEX","EPM","Evolution Petroleum Corporation, Inc.","7.56","$248.77M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epm",
"AMEX","EPM^A.CL","Evolution Petroleum Corporation, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/epm^a.cl",
"AMEX","XRA","Exeter Resource Corporation","1.19","$105.48M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/xra",
"AMEX","FPP","FieldPoint Petroleum Corporation","0.548","$4.88M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fpp",
"AMEX","FPP.WS","FieldPoint Petroleum Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fpp.ws",
"AMEX","FEN","First Trust Energy Income and Growth Fund","26.03","$503.82M","2004","n/a","n/a","http://www.nasdaq.com/symbol/fen",
"AMEX","BDL","Flanigan&#39;s Enterprises, Inc.","23.16","$43.05M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bdl",
"AMEX","FSI","Flexible Solutions International Inc.","2.15","$24.59M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fsi",
"AMEX","FTF","Franklin Limited Duration Income Trust","12.1","$324.71M","2003","n/a","n/a","http://www.nasdaq.com/symbol/ftf",
"AMEX","FSP","Franklin Street Properties Corp.","11.68","$1.17B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fsp",
"AMEX","FRD","Friedman Industries Inc.","5.29","$35.97M","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/frd",
"AMEX","GGN","GAMCO Global Gold, Natural Reources & Income Trust ","6.12","$731.82M","2005","n/a","n/a","http://www.nasdaq.com/symbol/ggn",
"AMEX","GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","24.59","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggn^b",
"AMEX","EGAS","Gas Natural Inc.","7.7","$80.97M","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/egas",
"AMEX","GST","Gastar Exploration Inc.","0.8729","$114.98M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gst",
"AMEX","GST^A","Gastar Exploration Inc.","12.47","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gst^a",
"AMEX","GST^B","Gastar Exploration Inc.","12.47","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gst^b",
"AMEX","JOB","GEE Group Inc.","4.8","$45.02M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/job",
"AMEX","GMO","General Moly, Inc","0.28","$25.46M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gmo",
"AMEX","GIG","GigPeak, Inc.","2.5","$168.65M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/gig",
"AMEX","GSB","GlobalSCAPE, Inc.","3.47","$73.51M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsb",
"AMEX","GSAT","Globalstar, Inc.","1.25","$1.35B","2006","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gsat",
"AMEX","GLOW","Glowpoint, Inc.","0.28","$10.04M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/glow",
"AMEX","GORO","Gold Resource Corporation","5.8","$314.75M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/goro",
"AMEX","GSV","Gold Standard Ventures Corporation","2.27","$473.56M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/gsv",
"AMEX","AUMN","Golden Minerals Company","0.6603","$58.71M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aumn",
"AMEX","GSS","Golden Star Resources, Ltd","0.773","$254.12M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gss",
"AMEX","GV","Goldfield Corporation (The)","2.92","$74.32M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/gv",
"AMEX","GRC","Gorman-Rupp Company (The)","25.5","$665.32M","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/grc",
"AMEX","GTE","Gran Tierra Energy Inc.","3.01","$1.05B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gte",
"AMEX","GPL","Great Panther Silver Limited","1.19","$194.51M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gpl",
"AMEX","SIM","Grupo Simec, S.A. de C.V.","9.54","$1.58B","1993","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sim",
"AMEX","GVP","GSE Systems, Inc.","2.85","$51.68M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gvp",
"AMEX","HCHC","HC2 Holdings, Inc.","5.85","$207.3M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hchc",
"AMEX","HEB","Hemispherx BioPharma, Inc.","1.19","$24.69M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/heb",
"AMEX","HLM^","Hillman Group Capital Trust","33.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hlm^",
"AMEX","HMG","HMG/Courtland Properties, Inc.","11.4999","$11.53M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hmg",
"AMEX","HH","Hooper Holmes, Inc.","1.16","$10.11M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hh",
"AMEX","HUSA","Houston American Energy Corporation","0.1853","$9.54M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/husa",
"AMEX","IBIO","iBio, Inc.","0.54","$48.12M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ibio",
"AMEX","IBO","IBO (Listing Market - NYSE Amex Network B F)","153.82","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibo",
